model_name	total_datasets	average_accuracy	total_time_s	average_time_s	average_train_ratio
step-50	149	0.375677	853.934	5.731	0.799911
step-100	149	0.492086	848.327	5.693	0.799911
step-150	149	0.525114	852.603	5.722	0.799911
step-200	149	0.535159	852.790	5.723	0.799911
step-250	149	0.533253	860.670	5.776	0.799911
step-300	149	0.534336	855.529	5.742	0.799911
step-350	149	0.534919	857.954	5.758	0.799911
step-400	149	0.536645	859.371	5.768	0.799911
step-450	149	0.538436	859.636	5.769	0.799911
step-500	149	0.546768	859.112	5.766	0.799911
step-550	149	0.555845	860.425	5.775	0.799911
step-600	149	0.571427	866.227	5.814	0.799911
step-650	149	0.594275	867.583	5.823	0.799911
step-700	149	0.618840	867.837	5.824	0.799911
