model_name	total_datasets	average_accuracy	total_time_s	average_time_s	average_train_ratio
step-50	149	0.395084	848.008	5.691	0.799911
step-100	149	0.493403	852.306	5.720	0.799911
step-150	149	0.533637	869.531	5.836	0.799911
step-200	149	0.534501	866.498	5.815	0.799911
step-250	149	0.535015	859.172	5.766	0.799911
step-300	149	0.535856	862.323	5.787	0.799911
step-350	149	0.536109	858.924	5.765	0.799911
step-400	149	0.542581	863.093	5.793	0.799911
step-450	149	0.549098	867.010	5.819	0.799911
step-500	149	0.566552	867.620	5.823	0.799911
step-550	149	0.587205	869.073	5.833	0.799911
step-600	149	0.608716	877.319	5.888	0.799911
step-650	149	0.620975	880.074	5.907	0.799911
step-700	149	0.625772	875.853	5.878	0.799911
step-750	149	0.628225	875.691	5.877	0.799911
step-800	149	0.638063	879.340	5.902	0.799911
step-850	149	0.654973	882.640	5.924	0.799911
step-900	149	0.670099	875.555	5.876	0.799911
step-950	149	0.674443	874.202	5.867	0.799911
step-1000	149	0.674942	875.851	5.878	0.799911
step-1050	149	0.673283	884.712	5.938	0.799911
step-1100	149	0.685050	878.707	5.897	0.799911
step-1150	149	0.698342	876.809	5.885	0.799911
step-1200	149	0.700881	877.120	5.887	0.799911
step-1250	149	0.709881	877.947	5.892	0.799911
step-1300	149	0.719368	871.753	5.851	0.799911
step-1350	149	0.727155	864.649	5.803	0.799911
step-1400	149	0.719681	886.493	5.950	0.799911
step-1450	149	0.736818	879.392	5.902	0.799911
step-1500	149	0.734650	884.312	5.935	0.799911
step-1550	149	0.748888	876.997	5.886	0.799911
step-1600	149	0.738377	878.695	5.897	0.799911
step-1650	149	0.752473	876.323	5.881	0.799911
step-1700	149	0.756632	878.693	5.897	0.799911
step-1750	149	0.765462	875.566	5.876	0.799911
step-1800	149	0.766267	869.550	5.836	0.799911
step-1850	149	0.767740	884.646	5.937	0.799911
step-1900	149	0.768500	873.800	5.864	0.799911
step-1950	149	0.769295	874.898	5.872	0.799911
