dataset	accuracy	time_s	train_ratio
ASP-POTASSCO-classification	0.432432	6.990	0.799845
Amazon_employee_access	0.942173	14.681	0.799994
BLE_RSSI_dataset_for_Indoor_localization	0.732098	5.618	0.799980
BNG(breast-w)	0.985141	21.480	0.799980
BNG(cmc)	0.572785	36.111	0.799986
BNG(tic-tac-toe)	0.776861	21.405	0.799980
Bank_Customer_Churn_Dataset	0.863500	6.599	0.800000
Basketball_c	0.708955	4.923	0.800000
Cardiovascular-Disease-dataset	0.728643	49.586	0.800000
Click_prediction_small	0.831539	6.432	0.799990
Credit_c	0.705790	42.161	0.801311
Customer_Personality_Analysis	0.892857	0.959	0.800000
Diabetic_Retinopathy_Debrecen	0.744589	0.705	0.799305
E-CommereShippingData	0.670455	2.589	0.799982
Employee	0.846402	1.144	0.799914
FICO-HELOC-cleaned	0.735190	3.095	0.799919
Firm-Teacher_Clave-Direction_Classification	0.756481	2.716	0.800000
Fitness_Club_c	0.788591	0.486	0.799597
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.634375	0.627	0.800000
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.668750	0.620	0.800000
Gender_Gap_in_Spanish_WP	0.594737	1.166	0.799831
GesturePhaseSegmentationProcessed	0.623797	3.328	0.799959
HR_Analytics_Job_Change_of_Data_Scientists	0.851709	2.161	0.797432
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.863946	0.737	0.800000
INNHotelsGroup	0.867540	16.059	0.800000
Indian_pines	0.928376	11.792	0.799978
JapaneseVowels	0.995484	2.482	0.799920
KDDCup09_upselling	0.778752	2.088	0.799922
MIC	0.903030	1.384	0.799879
MagicTelescope	0.874869	5.121	0.800000
Marketing_Campaign	0.897321	0.788	0.800000
Mobile_Price_Classification	0.967500	0.729	0.800000
National_Health_and_Nutrition_Health_Survey	0.831140	0.578	0.799824
PhishingWebsites	0.967436	3.533	0.800000
PieChart3	0.884259	0.629	0.799443
Pima_Indians_Diabetes_Database	0.753247	0.443	0.799479
PizzaCutter3	0.875598	0.651	0.799616
Pumpkin_Seeds	0.872000	0.685	0.800000
QSAR_biodegradation	0.900474	0.653	0.799810
SDSS17	0.972450	97.643	0.800000
Satellite	0.993137	1.774	0.800000
Telecom_Churn_Dataset	0.935532	0.957	0.799880
UJI_Pen_Characters	0.476190	2.968	0.799853
Water_Quality_and_Potability	0.641768	0.772	0.799756
Wilt	0.989637	0.789	0.799834
abalone	0.639952	0.933	0.799856
ada	0.844578	1.667	0.799855
ada_agnostic	0.821468	1.849	0.799868
ada_prior	0.837989	1.102	0.799955
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.587500	0.536	0.800000
allbp	0.974834	1.306	0.799841
allrep	0.969536	1.204	0.799841
analcatdata_authorship	0.988166	0.735	0.799049
artificial-characters	0.684932	2.199	0.799961
autoUniv-au4-2500	0.488000	1.925	0.800000
autoUniv-au7-1100	0.395455	0.559	0.800000
bank	0.897822	23.408	0.799982
banknote_authentication	0.563636	0.372	0.799563
baseball	0.947761	0.551	0.800000
car-evaluation	0.797688	0.643	0.799769
churn	0.933000	1.369	0.800000
cmc	0.586441	0.526	0.799728
company_bankruptcy_prediction	0.970674	4.277	0.799971
contraceptive_method_choice	0.600000	0.760	0.799728
credit	0.775351	4.443	0.799988
default_of_credit_card_clients	0.824000	12.680	0.800000
delta_ailerons	0.947405	1.025	0.799972
dis	0.984106	1.188	0.799841
dna	0.920063	3.556	0.799749
drug_consumption	0.403183	0.611	0.799894
dry_bean_dataset	0.927286	3.666	0.799941
eeg-eye-state	0.952937	4.017	0.800000
electricity	0.810107	21.806	0.799987
estimation_of_obesity_levels	0.976359	0.793	0.799621
eye_movements	0.574497	3.413	0.799927
eye_movements_bin	0.591327	2.026	0.799947
first-order-theorem-proving	0.615196	2.608	0.799935
gas-drift	0.994608	11.548	0.800000
gina_agnostic	0.798271	23.109	0.799885
golf_play_dataset_extended	0.936073	0.490	0.800000
heloc	0.720000	2.829	0.800000
house_16H	0.883988	3.636	0.799970
htru	0.979609	4.564	0.799978
ibm-employee-performance	1.000000	0.773	0.800000
in_vehicle_coupon_recommendation	0.662651	3.340	0.800729
internet_firewall	0.801785	42.244	0.799991
jm1	0.815342	2.981	0.800000
jungle_chess_2pcs_raw_endgame_complete	0.841812	21.028	0.799996
kdd_ipums_la_97-small	0.868015	1.383	0.799923
kr-vs-k	0.586778	29.454	0.799971
kropt	0.592837	27.798	0.799971
led24	0.710938	1.043	0.800000
led7	0.737500	0.756	0.800000
letter	0.966000	20.019	0.800000
mammography	0.988824	1.796	0.799964
maternal_health_risk	0.788177	0.471	0.799803
mfeat-factors	0.970000	2.804	0.800000
mfeat-fourier	0.885000	1.321	0.800000
mfeat-karhunen	0.970000	1.229	0.800000
mfeat-morphological	0.762500	0.567	0.800000
mfeat-pixel	0.952500	3.127	0.800000
mfeat-zernike	0.812500	0.976	0.800000
mice_protein_expression	1.000000	0.934	0.800000
microaggregation2	0.618250	6.507	0.800000
mobile_c36_oversampling	0.972179	20.731	0.800000
mozilla4	0.927629	1.894	0.800000
naticusdroid+android+permissions+dataset	0.963525	20.539	0.799980
national-longitudinal-survey-binary	0.992872	1.338	0.799919
okcupid_stem	0.732571	9.328	0.799978
one-hundred-plants-margin	0.825000	4.746	0.800000
one-hundred-plants-shape	0.743750	4.518	0.800000
one-hundred-plants-texture	0.865625	4.987	0.799875
optdigits	0.991993	2.657	0.800000
ozone-level-8hr	0.956607	1.464	0.799921
page-blocks	0.978082	1.198	0.799927
pendigits	0.995907	2.785	0.799945
phoneme	0.873265	0.813	0.799963
pol	0.971244	3.006	0.799940
predict_students_dropout_and_academic_success	0.778531	1.505	0.799955
qsar	0.895735	0.690	0.800000
rice_cammeo_and_osmancik	0.931759	0.813	0.800000
ringnorm	0.979054	2.015	0.800000
satimage	0.916796	2.175	0.800000
segment	0.935065	0.714	0.800000
seismic+bumps	0.934236	0.773	0.799923
shuttle	0.999397	34.468	0.800000
spambase	0.944625	2.035	0.799826
splice	0.879310	1.736	0.800000
sports_articles_for_objectivity_analysis	0.845000	0.729	0.800000
statlog	0.745000	0.532	0.800000
steel_plates_faults	0.778920	0.752	0.799588
sylvine	0.939512	1.390	0.799961
taiwanese_bankruptcy_prediction	0.968475	4.403	0.799971
telco-customer-churn	0.797019	1.827	0.799943
texture	0.999091	6.210	0.800000
thyroid	0.989583	1.973	0.800000
thyroid-ann	0.985430	1.090	0.799841
thyroid-dis	0.692857	0.960	0.800000
turiye_student_evaluation	0.496564	1.865	0.800000
twonorm	0.979730	1.988	0.800000
vehicle	0.852941	0.513	0.799054
wall-robot-navigation	0.963370	1.565	0.799853
water_quality	0.899375	1.975	0.799900
waveform-5000	0.870000	1.864	0.800000
waveform_database_generator_version_1	0.868000	1.374	0.800000
website_phishing	0.907749	0.513	0.799704
wine-quality-red	0.565625	0.519	0.799875
wine-quality-white	0.593878	1.085	0.799918
yeast	0.609428	0.538	0.799865
