dataset	accuracy	time_s	train_ratio	prep_s	fit_s	predict_s	total_e2e_s
ASP-POTASSCO-classification	0.440154	2.461	0.799845	0.002	0.203	2.258	2.463
Amazon_employee_access	0.942173	10.084	0.799994	0.003	0.136	9.948	10.088
BLE_RSSI_dataset_for_Indoor_localization	0.731597	1.015	0.799980	0.002	0.032	0.983	1.017
BNG(breast-w)	0.985776	16.428	0.799980	0.004	0.250	16.177	16.432
BNG(cmc)	0.571700	31.379	0.799986	0.004	0.303	31.075	31.383
BNG(tic-tac-toe)	0.786259	17.032	0.799980	0.005	0.273	16.759	17.037
Bank_Customer_Churn_Dataset	0.869000	2.007	0.800000	0.002	0.071	1.936	2.009
Basketball_c	0.716418	0.251	0.800000	0.002	0.031	0.219	0.253
Cardiovascular-Disease-dataset	0.729429	50.566	0.800000	0.005	0.390	50.175	50.571
Click_prediction_small	0.831790	5.939	0.799990	0.003	0.081	5.857	5.942
Credit_c	0.707196	42.153	0.801311	0.006	0.790	41.362	42.158
Customer_Personality_Analysis	0.888393	0.499	0.800000	0.003	0.046	0.453	0.501
Diabetic_Retinopathy_Debrecen	0.757576	0.265	0.799305	0.002	0.030	0.235	0.267
E-CommereShippingData	0.670909	2.141	0.799982	0.003	0.061	2.079	2.143
Employee	0.848550	0.709	0.799914	0.003	0.025	0.684	0.712
FICO-HELOC-cleaned	0.744304	2.565	0.799919	0.003	0.125	2.439	2.568
Firm-Teacher_Clave-Direction_Classification	0.772222	2.390	0.800000	0.003	0.100	2.290	2.393
Fitness_Club_c	0.802013	0.190	0.799596	0.003	0.014	0.177	0.193
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	0.646875	0.336	0.800000	0.002	0.034	0.302	0.339
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001	0.671875	0.338	0.800000	0.003	0.036	0.302	0.341
Gender_Gap_in_Spanish_WP	0.598947	0.840	0.799831	0.002	0.035	0.805	0.842
GesturePhaseSegmentationProcessed	0.644051	2.983	0.799959	0.003	0.163	2.820	2.986
HR_Analytics_Job_Change_of_Data_Scientists	0.854465	1.812	0.797432	0.003	0.060	1.752	1.815
IBM_HR_Analytics_Employee_Attrition_and_Performance	0.877551	0.407	0.800000	0.002	0.051	0.356	0.409
INNHotelsGroup	0.869056	15.716	0.800000	0.004	0.298	15.417	15.719
Indian_pines	0.920722	11.547	0.799978	0.007	1.026	10.521	11.554
JapaneseVowels	0.995484	2.185	0.799920	0.003	0.079	2.106	2.188
KDDCup09_upselling	0.783626	1.802	0.799922	0.003	0.141	1.661	1.806
MIC	0.900000	1.074	0.799879	0.003	0.161	0.913	1.077
MagicTelescope	0.875920	4.809	0.800000	0.003	0.111	4.698	4.813
Marketing_Campaign	0.883929	0.509	0.800000	0.003	0.050	0.459	0.512
Mobile_Price_Classification	0.980000	0.412	0.800000	0.002	0.039	0.374	0.415
National_Health_and_Nutrition_Health_Survey	0.831140	0.296	0.799824	0.003	0.019	0.277	0.299
PhishingWebsites	0.968340	3.226	0.800000	0.004	0.160	3.066	3.230
PieChart3	0.884259	0.357	0.799443	0.002	0.056	0.300	0.359
Pima_Indians_Diabetes_Database	0.740260	0.143	0.799479	0.002	0.014	0.129	0.145
PizzaCutter3	0.880383	0.353	0.799617	0.002	0.054	0.299	0.355
Pumpkin_Seeds	0.878000	0.399	0.800000	0.002	0.026	0.373	0.402
QSAR_biodegradation	0.872038	0.377	0.799810	0.003	0.061	0.316	0.380
SDSS17	0.971900	97.603	0.800000	0.006	0.675	96.928	97.609
Satellite	0.993137	1.488	0.800000	0.003	0.111	1.377	1.491
Telecom_Churn_Dataset	0.946027	0.655	0.799880	0.002	0.041	0.614	0.657
UJI_Pen_Characters	0.490842	2.814	0.799853	0.003	0.120	2.694	2.817
Water_Quality_and_Potability	0.637195	0.495	0.799756	0.002	0.024	0.471	0.497
Wilt	0.991710	0.482	0.799834	0.002	0.020	0.462	0.484
abalone	0.641148	0.641	0.799856	0.002	0.026	0.615	0.642
ada	0.853012	1.389	0.799855	0.003	0.109	1.280	1.393
ada_agnostic	0.840088	1.537	0.799868	0.003	0.107	1.430	1.539
ada_prior	0.835754	0.824	0.799955	0.002	0.039	0.785	0.826
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True	0.592500	0.262	0.800000	0.002	0.018	0.245	0.265
allbp	0.976159	0.922	0.799841	0.003	0.062	0.860	0.924
allrep	0.976159	0.919	0.799841	0.003	0.058	0.861	0.922
