model_name	total_datasets	average_accuracy	total_time_s	average_time_s	average_train_ratio
step-50	149	0.376201	865.790	5.811	0.799911
step-100	149	0.490495	845.370	5.674	0.799911
step-150	149	0.525340	853.364	5.727	0.799911
step-200	149	0.534189	848.786	5.697	0.799911
step-250	149	0.532785	852.376	5.721	0.799911
step-300	149	0.534071	852.576	5.722	0.799911
step-350	149	0.535145	851.969	5.718	0.799911
step-400	149	0.534825	852.624	5.722	0.799911
step-450	149	0.537951	857.681	5.756	0.799911
step-500	149	0.545242	857.277	5.754	0.799911
step-550	149	0.553708	856.728	5.750	0.799911
step-600	149	0.570571	864.385	5.801	0.799911
step-650	149	0.611077	869.115	5.833	0.799911
step-700	149	0.625926	863.539	5.796	0.799911
step-750	149	0.637877	871.175	5.847	0.799911
step-800	149	0.644356	872.978	5.859	0.799911
step-850	149	0.648734	869.220	5.834	0.799911
step-900	149	0.656864	868.079	5.826	0.799911
step-950	149	0.703724	872.999	5.859	0.799911
step-1000	149	0.729628	873.558	5.863	0.799911
step-1050	149	0.745205	865.880	5.811	0.799911
step-1100	149	0.753284	873.885	5.865	0.799911
step-1150	149	0.752750	871.631	5.850	0.799911
step-1200	149	0.767638	870.204	5.840	0.799911
step-1250	149	0.762531	868.230	5.827	0.799911
step-1300	149	0.777273	870.840	5.845	0.799911
step-1350	149	0.774161	870.362	5.841	0.799911
step-1400	149	0.772525	870.009	5.839	0.799911
step-1450	149	0.783838	873.949	5.865	0.799911
step-1500	149	0.786624	875.731	5.877	0.799911
step-1550	149	0.790183	869.429	5.835	0.799911
step-1600	149	0.789960	869.983	5.839	0.799911
step-1650	149	0.783114	870.378	5.841	0.799911
step-1700	149	0.794156	872.522	5.856	0.799911
step-1750	149	0.785967	873.562	5.863	0.799911
step-1800	149	0.789275	875.393	5.875	0.799911
step-1850	149	0.791068	869.745	5.837	0.799911
step-1900	149	0.789133	874.748	5.871	0.799911
step-1950	149	0.793883	873.830	5.865	0.799911
step-2000	149	0.800137	875.257	5.874	0.799911
step-2050	149	0.799166	874.559	5.870	0.799911
step-2100	149	0.798918	868.238	5.827	0.799911
step-2150	149	0.803216	871.621	5.850	0.799911
step-2200	149	0.804139	878.705	5.897	0.799911
step-2250	149	0.803461	873.918	5.865	0.799911
step-2300	149	0.801083	872.256	5.854	0.799911
step-2350	149	0.797036	873.844	5.865	0.799911
step-2400	149	0.803698	874.027	5.866	0.799911
step-2450	149	0.805361	869.362	5.835	0.799911
step-2500	149	0.805896	873.206	5.860	0.799911
step-2550	149	0.800242	877.430	5.889	0.799911
step-2600	149	0.804733	871.579	5.850	0.799911
step-2650	149	0.803922	871.540	5.849	0.799911
step-2700	149	0.807576	872.650	5.857	0.799911
step-2750	149	0.803624	876.362	5.882	0.799911
step-2800	149	0.804420	870.549	5.843	0.799911
step-2850	149	0.801744	870.188	5.840	0.799911
step-2900	149	0.796316	871.739	5.851	0.799911
step-2950	149	0.788563	871.173	5.847	0.799911
step-3000	149	0.803102	871.341	5.848	0.799911
step-3050	149	0.803366	872.411	5.855	0.799911
step-3100	149	0.792429	872.156	5.853	0.799911
step-3150	149	0.797758	869.873	5.838	0.799911
step-3200	149	0.804332	871.057	5.846	0.799911
step-3250	149	0.806872	868.595	5.829	0.799911
step-3300	149	0.806544	870.880	5.845	0.799911
step-3350	149	0.804794	871.840	5.851	0.799911
step-3400	149	0.803268	869.713	5.837	0.799911
step-3450	149	0.800726	872.439	5.855	0.799911
step-3500	149	0.805383	871.119	5.846	0.799911
step-3550	149	0.804939	869.889	5.838	0.799911
step-3600	149	0.806378	872.218	5.854	0.799911
step-3650	149	0.807761	864.943	5.805	0.799911
step-3700	149	0.809486	873.390	5.862	0.799911
step-3750	149	0.808129	870.944	5.845	0.799911
step-3800	149	0.808377	873.431	5.862	0.799911
step-3850	149	0.806297	872.266	5.854	0.799911
step-3900	149	0.807383	872.040	5.853	0.799911
step-3950	149	0.804489	873.471	5.862	0.799911
step-4000	149	0.809612	872.933	5.859	0.799911
step-4050	149	0.806406	867.059	5.819	0.799911
step-4100	149	0.809463	869.025	5.832	0.799911
step-4150	149	0.806744	873.370	5.862	0.799911
step-4200	149	0.622085	867.360	5.821	0.799911
step-4250	149	0.548632	861.045	5.779	0.799911
step-4300	149	0.637030	865.281	5.807	0.799911
step-4350	149	0.581447	867.167	5.820	0.799911
step-4400	149	0.685040	870.856	5.845	0.799911
step-4450	149	0.733151	872.482	5.856	0.799911
step-4500	149	0.618622	875.047	5.873	0.799911
step-4550	149	0.621968	867.320	5.821	0.799911
step-4600	149	0.718201	873.861	5.865	0.799911
step-4650	149	0.712968	879.021	5.899	0.799911
step-4700	149	0.657793	870.737	5.844	0.799911
step-4750	149	0.666911	871.266	5.847	0.799911
step-4800	149	0.659033	869.756	5.837	0.799911
step-4850	149	0.653491	870.712	5.844	0.799911
step-4900	149	0.653317	866.234	5.814	0.799911
step-4950	149	0.655670	865.750	5.810	0.799911
step-5000	149	0.653376	868.242	5.827	0.799911
step-5050	149	0.653241	864.085	5.799	0.799911
step-5100	149	0.663429	866.332	5.814	0.799911
step-5150	149	0.657854	869.285	5.834	0.799911
step-5200	149	0.657975	869.605	5.836	0.799911
step-5250	149	0.847994	871.907	5.852	0.799911
